mcu time(ms),gyro_Z(deg/s),mag_X(uT),mag_Y(uT),sun_direction(deg),sun_plusX(count),sun_plusY(count),sun_minusX(count),sun_minusY(count),w_RW_cmd(RPM),w_RW_meas(RPM)
8453,1.76,-22.95,-15.15,0.00,0,0,0,0,-346.67,-324.00
8503,-0.73,-22.80,-16.35,0.00,0,0,0,0,-346.67,-324.00
8553,1.53,-24.15,-14.85,0.00,0,0,0,0,-346.67,-324.00
8603,-1.20,-24.30,-14.40,0.00,0,0,0,0,-346.67,-318.00
8653,-0.27,-23.10,-15.60,0.00,0,0,0,0,-346.67,-324.00
8703,-2.89,-20.70,-15.45,0.00,0,0,0,0,-346.67,-324.00
8753,-2.31,-22.05,-13.80,0.00,0,0,0,0,-346.67,-324.00
8803,2.22,-22.80,-15.30,0.00,0,0,0,0,-346.67,-324.00
8853,2.18,-22.35,-14.55,0.00,0,0,0,0,-346.67,-324.00
8903,-0.13,-23.55,-15.15,0.00,0,0,0,0,-346.67,-324.00
8953,0.13,-23.40,-13.80,0.00,0,0,0,0,-346.67,-324.00
9003,1.59,-21.60,-16.35,0.00,0,0,0,0,-346.67,-324.00
9053,-2.37,-23.25,-15.90,0.00,0,0,0,0,-346.67,-324.00
9103,-0.91,-23.10,-15.60,0.00,0,0,0,0,-346.67,-318.00
9153,-1.50,-22.80,-15.30,0.00,0,0,0,0,-346.67,-318.00
9203,1.38,-22.50,-15.90,0.00,0,0,0,0,-346.67,-324.00
9253,-1.61,-22.35,-14.85,0.00,0,0,0,0,-346.67,-324.00
9303,-0.69,-22.80,-15.60,0.00,0,0,0,0,-346.67,-318.00
9353,0.59,-23.25,-15.15,0.00,0,0,0,0,-346.67,-324.00
9403,-0.32,-24.45,-16.05,0.00,0,0,0,0,-346.67,-324.00
9453,0.97,-24.00,-15.90,0.00,0,0,0,0,-346.67,-324.00
9503,0.14,-23.10,-14.55,0.00,0,0,0,0,-346.67,-324.00
9553,-3.02,-23.55,-14.70,0.00,0,0,0,0,-346.67,-324.00
9603,-1.24,-22.50,-13.95,0.00,0,0,0,0,-346.67,-324.00
9653,1.48,-22.95,-14.70,0.00,0,0,0,0,-346.67,-318.00
9703,-1.35,-22.95,-14.40,0.00,0,0,0,0,-346.67,-324.00
9753,-4.10,-23.10,-14.85,0.00,0,0,0,0,-346.67,-324.00
9803,6.96,-23.10,-16.35,0.00,0,0,0,0,-346.67,-324.00
9853,-2.21,-24.15,-13.80,0.00,0,0,0,0,-346.67,-318.00
9903,-0.46,-22.95,-14.70,0.00,0,0,0,0,-346.67,-324.00
9953,-1.02,-23.55,-14.70,0.00,0,0,0,0,-346.67,-324.00
10003,-1.37,-23.10,-14.55,0.00,0,0,0,0,-346.67,-324.00
10053,-0.18,-22.95,-15.45,0.00,0,0,0,0,-346.67,-324.00
10103,1.75,-22.05,-14.85,0.00,0,0,0,0,-346.67,-324.00
10153,2.50,-22.80,-13.80,0.00,0,0,0,0,-346.67,-324.00
10203,0.41,-23.85,-14.25,0.00,0,0,0,0,-346.67,-318.00
10253,1.09,-22.95,-14.70,0.00,0,0,0,0,-346.67,-318.00
10303,-2.96,-23.85,-14.25,0.00,0,0,0,0,-346.67,-324.00
10353,1.50,-22.80,-14.85,0.00,0,0,0,0,-346.67,-318.00
10403,1.85,-25.05,-15.15,0.00,0,0,0,0,-346.67,-324.00
10453,3.65,-23.85,-14.25,0.00,0,0,0,0,-346.67,-324.00
10503,0.93,-24.30,-15.90,0.00,0,0,0,0,-346.67,-324.00
10553,1.28,-23.40,-15.30,0.00,0,0,0,0,-346.67,-324.00
10603,-0.43,-23.40,-14.55,0.00,0,0,0,0,-346.67,-324.00
10653,2.10,-22.80,-15.30,0.00,0,0,0,0,-346.67,-324.00
10703,-0.44,-24.30,-14.70,0.00,0,0,0,0,-346.67,-318.00
10753,3.00,-22.95,-13.65,0.00,0,0,0,0,-346.67,-324.00
10803,2.28,-24.00,-15.90,0.00,0,0,0,0,-346.67,-318.00
10853,2.90,-23.85,-15.30,0.00,0,0,0,0,-346.67,-318.00
10903,-0.15,-23.25,-15.45,0.00,0,0,0,0,-346.67,-324.00
10953,-1.76,-22.50,-15.90,0.00,0,0,0,0,-346.67,-324.00
11003,2.33,-22.95,-15.45,0.00,0,0,0,0,-346.67,-318.00
11053,3.09,-23.40,-13.05,0.00,0,0,0,0,-346.67,-324.00
11103,6.29,-22.95,-13.95,0.00,0,0,0,0,-346.67,-324.00
