mcu time(ms),gyro_Z(deg/s),mag_X(uT),mag_Y(uT),sun_direction(deg),sun_plusX(count),sun_plusY(count),sun_minusX(count),sun_minusY(count),w_RW_cmd(RPM),w_RW_meas(RPM)
15353,-3.62,-21.90,-6.75,0.00,0,0,0,0,-272.87,-246.00
15403,-2.52,-23.10,-5.40,0.00,0,0,0,0,-276.20,-246.00
15453,-4.56,-22.20,-4.80,0.00,0,0,0,0,-279.53,-252.00
15503,-6.04,-21.60,-5.85,0.00,0,0,0,0,-282.87,-258.00
15553,-6.34,-22.35,-4.35,0.00,0,0,0,0,-286.20,-258.00
15603,-8.92,-23.85,-5.40,0.00,0,0,0,0,-289.53,-258.00
15653,-7.66,-23.40,-5.40,0.00,0,0,0,0,-292.87,-258.00
15703,-10.86,-22.35,-6.15,0.00,0,0,0,0,-296.20,-264.00
15753,-10.66,-22.50,-6.30,0.00,0,0,0,0,-299.53,-270.00
15803,-16.68,-23.25,-6.00,0.00,0,0,0,0,-302.87,-270.00
15853,-13.59,-21.90,-6.30,0.00,0,0,0,0,-306.20,-276.00
15903,-17.50,-22.80,-6.45,0.00,0,0,0,0,-309.53,-276.00
15953,-22.40,-23.85,-6.90,0.00,0,0,0,0,-312.87,-282.00
16003,-22.38,-24.45,-8.40,0.00,0,0,0,0,-316.20,-282.00
16053,-19.21,-23.40,-8.40,0.00,0,0,0,0,-319.87,-288.00
16103,-20.75,-22.05,-7.65,0.00,0,0,0,0,-322.87,-294.00
16153,-24.63,-23.85,-8.70,0.00,0,0,0,0,-326.20,-294.00
16203,-24.16,-22.50,-8.85,0.00,0,0,0,0,-329.53,-294.00
16253,-27.35,-22.05,-8.40,0.00,0,0,0,0,-332.87,-306.00
16303,-28.69,-24.30,-11.10,0.00,0,0,0,0,-336.20,-306.00
16353,-29.69,-24.15,-9.75,0.00,0,0,0,0,-339.53,-306.00
16403,-28.32,-23.25,-9.60,0.00,0,0,0,0,-342.87,-306.00
16453,-33.35,-23.55,-10.05,0.00,0,0,0,0,-346.20,-312.00
16503,-36.76,-23.85,-12.00,0.00,0,0,0,0,-349.53,-318.00
16553,-34.60,-23.85,-12.30,0.00,0,0,0,0,-352.87,-318.00
16603,-36.37,-23.25,-12.60,0.00,0,0,0,0,-356.20,-324.00
